Coronavirus for the US

EntryNumber RepWeekDate	CoVHKU1	CoVNL63	CoVOC43	CoV229E

86	11/16/19	0.9426482	0.2642939	0.1673861	0.0176196
87	11/23/19	1.0301811	0.4024145	0.2012072	0.0160966
88	11/30/19	1.3671539	0.3095443	0.2665520	0.1031814
89	12/07/19	2.0250149	0.5062537	0.3052412	0.0967838
90	12/14/19	2.7450406	0.5270478	0.5050875	0.1098016
91	12/21/19	3.6912981	0.6835737	0.5195160	0.1298790
92	12/28/19	4.5359822	0.7363156	0.6946374	0.0694637
93	01/04/20	4.6817068	0.8609313	0.6849745	0.0691259
94	01/11/20	4.7668260	0.7621754	0.7427981	0.1679370
95	01/18/20	4.6530612	0.9183673	0.6802721	0.1700680
96	01/25/20	3.7658773	1.0787005	0.6319014	0.1276569
97	02/01/20	3.3134137	1.1791698	0.6242664	0.1227190
98	02/08/20	3.0723800	1.6964061	0.7162604	0.1947726
99	02/15/20	2.9366701	1.7045455	0.7724719	0.2681307
100	02/22/20	2.1590986	1.8554753	0.8433979	0.1214493
101	02/29/20	1.5080243	1.9853348	0.8923630	0.2905368
102	03/07/20	1.2939856	2.2842807	0.8054400	0.2178649
103	03/14/20	0.8331457	2.1504166	0.9175861	0.3321324
104	03/21/20	0.7057891	2.9341792	0.8088818	0.3409992
