
Coronavirus for Census Region 2
RepWeekDate	RegID	CoVHKU1	CoVNL63	CoVOC43	CoV229E
93	01/04/20	2	6.9709749	0.3969238	0.3225006	0.0248077
94	01/11/20	2	6.9324993	0.3127443	0.2606203	0.1042481
95	01/18/20	2	7.1330212	0.4131093	0.4957312	0.0826219
96	01/25/20	2	6.3203685	0.3838280	0.3326510	0.1791198
97	02/01/20	2	6.2338880	0.4921491	0.4687134	0.1874854
98	02/08/20	2	5.0643087	1.1789925	0.3215434	0.3483387
99	02/15/20	2	5.1599033	1.3437248	0.4837409	0.3493684
100	02/22/20	2	3.7127371	1.5447154	0.7317073	0.1897019
101	02/29/20	2	2.1331796	1.3836841	0.5188815	0.4324013
102	03/07/20	2	2.1582734	2.1882494	0.7494005	0.2398082
103	03/14/20	2	1.5814266	2.9609690	1.2113055	0.5720054
104	03/21/20	2	0.9714286	4.2857143	0.6285714	0.8000000
