
Coronavirus for Census Region 1
RepWeekDate	RegID	CoVHKU1	CoVNL63	CoVOC43	CoV229E
93	01/04/20	1	4.7915048	1.5281015	0.9065009	0.0777001
94	01/11/20	1	4.3008048	1.2826962	1.1820926	0.2766600
95	01/18/20	1	4.6591208	1.4477494	0.7633588	0.2369044
96	01/25/20	1	3.2096289	1.5295888	0.7522568	0.1253761
97	02/01/20	1	3.6506800	1.8611310	0.7158196	0.0954426
98	02/08/20	1	2.9672046	1.9260802	0.7808433	0.2082249
99	02/15/20	1	2.2777168	1.8386389	0.7958288	0.3567508
100	02/22/20	1	1.8120393	1.9656020	0.5835381	0.0614251
101	02/29/20	1	1.3012362	2.4398178	0.9108653	0.2277163
102	03/07/20	1	1.1788977	2.6819923	0.7662835	0.3241969
103	03/14/20	1	0.6600038	1.9234396	0.5657175	0.1320008
104	03/21/20	1	0.8108108	4.1698842	0.7722008	0.2316602
