
Coronavirus for Census Region 3
RepWeekDate	RegID	CoVHKU1	CoVNL63	CoVOC43	CoV229E
93	01/04/20	3	3.7044576	0.9973540	1.0177081	0.1017708
94	01/11/20	3	4.0514469	0.8360129	0.8574491	0.1929260
95	01/18/20	3	3.6661287	0.8761817	1.0145262	0.1614019
96	01/25/20	3	2.9619805	1.2820513	0.9946950	0.1105217
97	02/01/20	3	1.8462860	1.1592958	0.7728639	0.1288106
98	02/08/20	3	2.5569871	2.1605550	1.1694747	0.1585728
99	02/15/20	3	2.2749753	1.8397626	1.1473788	0.1780415
100	02/22/20	3	1.5741508	2.3198012	1.3463132	0.1449876
101	02/29/20	3	1.2553191	2.2127660	1.3404255	0.1914894
102	03/07/20	3	0.9081309	2.1119324	1.0348469	0.1267159
103	03/14/20	3	0.7613742	1.9127205	1.2999071	0.4085422
104	03/21/20	3	0.7485030	1.5825492	1.0692900	0.2566296
